1 xplmin   xplmax   zplmax   arad   x-zero   xmagax   xmaj  xzmax  xatpi  xofset  a-ratio
     2   53  -0.272743345E+00   0.405539649E+01   0.563282840E-02   0.197345141E-02  -0.366361525E-03   0.350231325E+00  -0.682897707E-08  -0.354091570E+00  -0.120262018E-03
     2   54  -0.272743345E+00   0.405522003E+01   0.563003472E-02   0.197253740E-02  -0.362441125E-03   0.350242411E+00   0.624788145E-04  -0.354111207E+00  -0.123978191E-03
     2   55  -0.272743345E+00   0.405504374E+01   0.562165534E-02   0.196966622E-02  -0.358143057E-03   0.350253730E+00   0.124905968E-03  -0.354130587E+00  -0.127589343E-03
     2   56  -0.272743345E+00   0.405486781E+01   0.560769892E-02   0.196484064E-02  -0.353484236E-03   0.350265270E+00   0.187212027E-03  -0.354149680E+00  -0.131079159E-03
     2   57  -0.272743345E+00   0.405469241E+01   0.558817989E-02   0.195806547E-02  -0.348480882E-03   0.350277022E+00   0.249334509E-03  -0.354168475E+00  -0.134432518E-03
     2   58  -0.272743345E+00   0.405451771E+01   0.556311842E-02   0.194934752E-02  -0.343150068E-03   0.350288972E+00   0.311211129E-03  -0.354186955E+00  -0.137633948E-03
     2   59  -0.272743345E+00   0.405434390E+01   0.553254040E-02   0.193869562E-02  -0.337511061E-03   0.350301108E+00   0.372779866E-03  -0.354205090E+00  -0.140666275E-03
     2   60  -0.272743345E+00   0.405417114E+01   0.549647740E-02   0.192612057E-02  -0.331579353E-03   0.350313415E+00   0.433979035E-03  -0.354222879E+00  -0.143516595E-03
     2   61  -0.272743345E+00   0.405399960E+01   0.545496663E-02   0.191163518E-02  -0.325373400E-03   0.350325879E+00   0.494747353E-03  -0.354240301E+00  -0.146169530E-03
     2   62  -0.272743345E+00   0.405382947E+01   0.540805088E-02   0.189525421E-02  -0.318913364E-03   0.350338483E+00   0.555024009E-03  -0.354257334E+00  -0.148608485E-03
     2   63  -0.272743345E+00   0.405366090E+01   0.535577847E-02   0.187699437E-02  -0.312213276E-03   0.350351210E+00   0.614748731E-03  -0.354273982E+00  -0.150823473E-03
     2   64  -0.272743345E+00   0.405349408E+01   0.529820318E-02   0.185687428E-02  -0.305294878E-03   0.350364043E+00   0.673861853E-03  -0.354290218E+00  -0.152797279E-03
     2   65  -0.272743345E+00   0.405332915E+01   0.523538418E-02   0.183491446E-02  -0.298172394E-03   0.350376962E+00   0.732304377E-03  -0.354306044E+00  -0.154520671E-03
     2   66  -0.272743345E+00   0.405316629E+01   0.516738594E-02   0.181113732E-02  -0.290867976E-03   0.350389947E+00   0.790018038E-03  -0.354321437E+00  -0.155976959E-03
     2   67  -0.272743345E+00   0.405300566E+01   0.509427816E-02   0.178556709E-02  -0.283392779E-03   0.350402981E+00   0.846945367E-03  -0.354336406E+00  -0.157160902E-03
     2   68  -0.272743345E+00   0.405284742E+01   0.501613567E-02   0.175822981E-02  -0.275769745E-03   0.350416040E+00   0.903029752E-03  -0.354350929E+00  -0.158055927E-03
     2   69  -0.272743345E+00   0.405269172E+01   0.493303832E-02   0.172915330E-02  -0.268013919E-03   0.350429103E+00   0.958215492E-03  -0.354365005E+00  -0.158653798E-03
